Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Online learning,The classroom projectors doesnt work well,26,2.8,2,1,M,Malaysia
Athletics and sports," The athletic department should prioritize the mental and physical health of all athletes, regardless of their level of competition.",22,2.98,4,1,M,Soudan
Academic Support and Resources,The library catalogue system is outdated and hard to search effectively.,22,0.93,3,1,F,India
Food and Cantines,The canteen does not display any allergen information on its menu boards.,16,1.72,5,1,F,Nigeria
Food and Cantines,The dining area near the science block has no seating for students at all.,18,1.72,4,1,M,Saudi Arabia
Internship Opportunities,"I have been applying to job opportunities outside of my field of study in hopes of finding something, but it has been difficult to make any progress.",19,0.53,4,1,M,Egypt
Housing and Transportation,The shuttle bus schedule does not align with evening class end times at all.,18,2.15,4,1,F,Egypt
Academic Support and Resources,"I'm not very good at managing my time, and I often find myself struggling to balance my academic work with my other commitments.",26,1.88,1,1,M,Egypt
Internship Opportunities,Career development is not embedded into any course curricula across the university.,27,3.04,4,1,F,Turkey
Academic Support and Resources,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,21,2.64,1,1,M,Egypt
Academic Support and Resources,The library inter-loan service takes over three weeks to deliver requested books.,22,2.33,3,1,F,Malaysia
Health and Well-being Support,There are no mindfulness sessions available during the high-stress exam period.,25,1.06,1,1,F,Bangladesh
Online learning,Lecturers are not trained to deliver engaging and interactive online classes.,20,2.38,4,1,M,Indonesia
Health and Well-being Support,There are no wellness check-ins built into the program for at-risk students.,16,3.0,3,1,M,Egypt
Student Affairs," ""The lack of organization and communication in the student affairs office is causing a lot of unnecessary stress for students. It's time for them to step up and do better.""",16,3.99,3,1,F,Mexico
Financial Support,The carpet in the waiting area of the accounts office is quite worn out and has a few trip hazards. It might be time to replace it with some easy-to-clean tiling or a new rug.,17,1.58,5,1,M,India
Housing and Transportation,Switchboards in lecture halls are broken.,16,2.31,1,1,F,Malaysia
Academic Support and Resources,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,17,2.85,2,1,M,Egypt
Student Activities,There are no virtual event options for students who cannot attend in person.,27,3.52,4,1,F,Egypt
